name,mbid,url,image_small,image
Bruno Mars,afb680f2-b6eb-4cd7-a70b-a63b25c763d5,https://www.last.fm/music/Bruno+Mars,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
Taylor Swift,20244d07-534f-4eff-b4d4-930878889970,https://www.last.fm/music/Taylor+Swift,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
Chester Bennington,415e30a0-116b-4a4f-8cbf-8d0f6406bbab,https://www.last.fm/music/Chester+Bennington,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
Chester Bennington,415e30a0-116b-4a4f-8cbf-8d0f6406bbab,https://www.last.fm/music/Chester+Bennington,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
Bruno Mars,afb680f2-b6eb-4cd7-a70b-a63b25c763d5,https://www.last.fm/music/Bruno+Mars,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
Frank Ocean,e520459c-dff4-491d-a6e4-c97be35e0044,https://www.last.fm/music/Frank+Ocean,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
Bruno Mars,afb680f2-b6eb-4cd7-a70b-a63b25c763d5,https://www.last.fm/music/Bruno+Mars,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
Bruno Mars,afb680f2-b6eb-4cd7-a70b-a63b25c763d5,https://www.last.fm/music/Bruno+Mars,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
Bruno Mars,afb680f2-b6eb-4cd7-a70b-a63b25c763d5,https://www.last.fm/music/Bruno+Mars,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
Bruno Mars,afb680f2-b6eb-4cd7-a70b-a63b25c763d5,https://www.last.fm/music/Bruno+Mars,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
Chester Bennington,415e30a0-116b-4a4f-8cbf-8d0f6406bbab,https://www.last.fm/music/Chester+Bennington,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
Bruno Mars,afb680f2-b6eb-4cd7-a70b-a63b25c763d5,https://www.last.fm/music/Bruno+Mars,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
artistName2,,,,
Pink Floyd,83d91898-7763-47d7-b03b-b92132375c47,https://www.last.fm/music/Pink+Floyd,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
Taylor Swift,20244d07-534f-4eff-b4d4-930878889970,https://www.last.fm/music/Taylor+Swift,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
Taylor Swift,20244d07-534f-4eff-b4d4-930878889970,https://www.last.fm/music/Taylor+Swift,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
Bruno Mars,afb680f2-b6eb-4cd7-a70b-a63b25c763d5,https://www.last.fm/music/Bruno+Mars,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
Bruno Mars,afb680f2-b6eb-4cd7-a70b-a63b25c763d5,https://www.last.fm/music/Bruno+Mars,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
